"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.698881417E0,9.401591867E-3,5.995074834E-3,-2.430044353E-2,2.673653694E-2
2.708966417E0,-3.175498568E-2,-1.594912123E-2,-1.450752676E-2,3.838257307E-2
2.719051417E0,-2.956929646E-2,-1.345729602E-2,6.258859634E-3,3.308497292E-2
2.729136417E0,-8.952598795E-3,-1.474558381E-2,-3.814314187E-2,4.186263893E-2
2.739222417E0,2.543538809E-3,-2.786041114E-2,-2.286202848E-2,3.612955086E-2
2.749307417E0,1.635758579E-4,-3.811708521E-2,-2.222175837E-2,4.412193884E-2
2.759392417E0,-4.667247534E-3,-3.450694118E-2,-3.415183246E-2,4.877355687E-2
2.769477417E0,-3.245277777E-3,-2.417235296E-2,-4.100067616E-2,4.770628806E-2
2.779563417E0,2.047760703E-2,-2.245129813E-2,-4.068492651E-2,5.078047284E-2
2.789648417E0,1.992482588E-2,-5.701912344E-3,-4.160761714E-2,4.648337654E-2
2.799733417E0,4.163071364E-3,1.799480617E-4,-3.518912852E-2,3.543498709E-2
2.809818417E0,2.116341233E-2,-1.260805875E-5,-1.753170669E-2,2.748182891E-2
2.819903417E0,6.496987492E-4,8.964877948E-3,-4.135326326E-2,4.231883183E-2
2.829989417E0,-1.935282201E-3,7.804351822E-3,-4.945516527E-2,5.010455664E-2
2.840074417E0,8.920658380E-4,1.170583338E-2,-4.123164117E-2,4.287039247E-2
2.850159417E0,1.314797603E-2,6.296391450E-3,-5.620986879E-2,5.806946847E-2
2.860244417E0,5.200367421E-3,2.429152653E-3,-5.651860178E-2,5.680930338E-2
2.870330417E0,-1.047017053E-2,5.307810009E-4,-4.905930877E-2,5.016694107E-2
2.880415417E0,-8.932206631E-3,-1.224684700E-2,-4.731859267E-2,4.968720951E-2
2.890500417E0,-7.946512252E-3,-1.873042473E-2,-2.802570462E-2,3.463258562E-2
2.900585417E0,-3.944458589E-3,-1.235001381E-2,-1.863449156E-2,2.270079009E-2
2.910670417E0,5.725228116E-3,-1.743351230E-2,-2.980267346E-2,3.499864188E-2
2.920756417E0,-2.057196647E-3,-7.984701879E-3,-2.482903183E-2,2.616234591E-2
2.930841417E0,-2.332198508E-2,-4.703100559E-3,-1.186926305E-2,2.658784588E-2
2.940926417E0,-2.416186452E-2,-7.660985403E-3,-2.690479338E-2,3.696423002E-2
2.951011417E0,-2.426799148E-2,-1.152917437E-2,-2.485475957E-2,3.660076974E-2
2.961097417E0,-3.279681332E-2,-9.044183095E-3,-2.262053847E-2,4.085482802E-2
2.971182417E0,-3.017112114E-2,-1.742174478E-2,-1.317494631E-2,3.724772412E-2
2.981267417E0,-1.588388823E-2,-1.217617107E-2,-2.334793210E-2,3.075195897E-2
